Id,Key,Value,IsEnabled,CreatedAt
1,s3,https://s3.us-east-2.amazonaws.com/svrel/,1,
2,horse_assessment_img_path,cpms/images/horses/assessments/,1,
3,horse_profile_img_path,cpms/images/horses/profile/,1,
4,email_sender,support@svlgrp.com,1,
5,email_sender_name,CPMS Support,1,
6,lame_reminder,21,1,2021-09-18 10:42:28
7,sick_reminder,28,1,2021-09-18 10:42:38
8,checklist_img_path,cpms/images/checklists/,1,2021-11-19 13:51:02
9,trainer_profile_image_path,cpms/images/trainer/profile/,1,2021-12-18 08:20:33
10,sm_core_url,https://core3003.caymanasracing.com,1,2023-05-29 03:32:41
11,open_weather_map_api_endpoint,https://api.openweathermap.org/data/3.0/onecall?lat=LATITUDE&lon=LONGITUDE&exclude=PART&units=UNIT_NAME&appid=API_KEY,1,2023-06-09 21:53:14
12,latitude,17.98806,1,2023-06-09 21:53:46
13,longitude,-76.87674,1,2023-06-09 21:54:08
14,open_weather_map_unit,metric,1,2023-06-09 21:54:32
15,open_weather_map_part,"minutely,hourly,daily,alerts",1,2023-06-09 21:54:52
16,open_weather_map_icon_default_properties,"https://openweathermap.org/img/wn/,png",1,2023-06-12 09:09:12
17,open_weather_map_api_key,2ab8d38e96a8aa030a36d0832f9a1322,1,2023-06-14 05:52:04
18,crm_incident_img_path,cpms/images/crm/incidents/,1,2023-08-27 07:04:08
19,crm_incident_document_path,cpms/documents/crm/incidents/,1,2023-08-31 13:11:15
