HorseId,RaceId,FinishPosition,OriginalPosition,PostPosition,Track,RaceNumber,Equipment,Weight,WinDivision,PlaceDivision,Comment,IsDisqualified,JockeyId,TrainerId,OwnerId,GroomId,ClaimantId,ClaimPrice,ClaimantTrainerId,PreviousRating,Rating,Position1,LenCall1,Position2,LenCall2,Position3,LenCall3,Position4,LenCall4,Lengths,Odds
20141976,20221016-666,,,2,CP,666,L,54.0,0,0,LAME,0,33110,15319,34083,2057,,400000.0,,2,8,0,0.0,0,0.0,0,0.0,0,0.0,0.0,
20180077,20221016-666,1.0,1.0,4,CP,666,T&L,54.0,0,0,,0,5215,3649,1712,2016,,400000.0,,4,2,0,0.0,0,0.0,0,0.0,0,0.0,9.0, 7/2
20141810,20221016-666,2.0,2.0,1,CP,666,TL,51.0,0,0,,0,33736,33541,134054,34212,,400000.0,,1,2,0,0.0,0,0.0,0,0.0,0,0.0,9.0, 6/5
20181721,20221016-666,3.0,3.0,6,CP,666,BL,54.0,0,0,,0,33598,15571,12565,603,33947.0,375000.0,3649.0,6,1,0,0.0,0,0.0,0,0.0,0,0.0,11.0,*1/1
20161790,20221016-666,4.0,4.0,3,CP,666,BTL,53.0,0,0,,0,34078,2817,133622,2227,,0.0,,3,6,0,0.0,0,0.0,0,0.0,0,0.0,20.5,56/1
20142711,20221016-666,5.0,5.0,5,CP,666,TL,54.0,0,0,,0,32891,72664,25831,2233,,400000.0,,5,5,0,0.0,0,0.0,0,0.0,0,0.0,52.5, 8/1
20130704,20221016-666,99.0,99.0,7,CP,666,CL,52.0,0,0,TNP/START,0,33132,15045,134922,101,,0.0,,7,10,0,0.0,0,0.0,0,0.0,0,0.0,0.0, 5/1
20170802,20221016-667,1.0,1.0,2,CP,667,L,51.0,0,0,,0,33132,2895,4205,36,,0.0,,2,7,0,0.0,0,0.0,0,0.0,0,0.0,2.8, 6/1
20170726,20221016-667,2.0,2.0,6,CP,667,&L,52.0,0,0,,0,5290,72691,33024,901,,0.0,,6,1,0,0.0,0,0.0,0,0.0,0,0.0,2.8,*1/1
20170291,20221016-667,3.0,3.0,1,CP,667,T&L,54.0,0,0,,0,33645,2895,27047,1944,,0.0,,1,0,0,0.0,0,0.0,0,0.0,0,0.0,6.0, 2/1
20160208,20221016-667,4.0,4.0,3,CP,667,&L,50.5,0,0,,0,32905,72675,33544,1208,,0.0,,3,0,0,0.0,0,0.0,0,0.0,0,0.0,8.5,25/1
20171581,20221016-667,5.0,5.0,4,CP,667,TLV,51.0,0,0,,0,33072,72655,33390,34098,,0.0,,4,4,0,0.0,0,0.0,0,0.0,0,0.0,16.5,60/1
20170251,20221016-667,6.0,6.0,5,CP,667,B&L,52.0,0,0,,0,33523,2691,29225,671,,0.0,,5,0,0,0.0,0,0.0,0,0.0,0,0.0,22.0,88/1
20172699,20221016-667,7.0,7.0,7,CP,667,BTL,53.5,0,0,,0,5265,14298,32723,625,,0.0,,7,0,0,0.0,0,0.0,0,0.0,0,0.0,33.5, 6/5
20152173,20221016-668,1.0,1.0,8,CP,668,TCL,51.5,0,0,,0,33517,3310,34051,47836,,250000.0,,8,6,0,0.0,0,0.0,0,0.0,0,0.0,1.0, 5/1
20162146,20221016-668,2.0,2.0,1,CP,668,L,52.5,0,0,,0,33357,2776,13228,693,,250000.0,,1,7,0,0.0,0,0.0,0,0.0,0,0.0,1.0, 3/1
20151272,20221016-668,3.0,3.0,6,CP,668,L,53.0,0,0,,0,5209,3649,11749,2016,,250000.0,,6,10,0,0.0,0,0.0,0,0.0,0,0.0,2.8,*2/1
20142973,20221016-668,4.0,4.0,5,CP,668,T&L,50.0,0,0,,0,33788,21536,33251,1937,,250000.0,,5,12,0,0.0,0,0.0,0,0.0,0,0.0,2.9,13/1
20143516,20221016-668,5.0,5.0,7,CP,668,BTL,53.0,0,0,,0,33072,12004,133727,452,134777.0,250000.0,2889.0,7,13,0,0.0,0,0.0,0,0.0,0,0.0,3.6, 2/1
20122215,20221016-668,6.0,6.0,9,CP,668,T&L,56.0,0,0,,0,32973,72664,25831,2233,,250000.0,,9,6,0,0.0,0,0.0,0,0.0,0,0.0,3.9,23/1
20142493,20221016-668,7.0,7.0,3,CP,668,TE&L,53.0,0,0,,0,31467,3310,786,1082,,250000.0,,3,7,0,0.0,0,0.0,0,0.0,0,0.0,5.1,15/1
20170317,20221016-668,8.0,8.0,2,CP,668,T&LV,53.0,0,0,,0,32905,72713,134824,270,,250000.0,,2,8,0,0.0,0,0.0,0,0.0,0,0.0,18.1, 9/2
20152259,20221016-668,9.0,9.0,4,CP,668,L,53.0,0,0,,0,33074,72726,12189,1055,,250000.0,,4,1,0,0.0,0,0.0,0,0.0,0,0.0,18.4, 8/1
20180193,20221016-669,,,6,CP,669,BTL,57.0,0,0,LAME,0,33357,3451,34067,471,,550000.0,,6,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,
20171703,20221016-669,,,10,CP,669,&L,53.0,0,0,LAME,0,33598,72690,33763,1929,,550000.0,,10,11,0,0.0,0,0.0,0,0.0,0,0.0,0.0,
20142837,20221016-669,1.0,1.0,12,CP,669,TL,56.0,0,0,,0,33985,560,134735,28,,525000.0,,12,10,0,0.0,0,0.0,0,0.0,0,0.0,1.8, 7/2
20170079,20221016-669,2.0,2.0,2,CP,669,L,51.5,0,0,,0,33523,1104,134881,872,134599.0,550000.0,31924.0,2,0,0,0.0,0,0.0,0,0.0,0,0.0,1.8, 3/1
20180153,20221016-669,3.0,3.0,8,CP,669,TL,56.0,0,0,,0,34087,72655,34104,34098,134747.0,550000.0,33696.0,8,0,0,0.0,0,0.0,0,0.0,0,0.0,5.3,10/1
20150528,20221016-669,4.0,4.0,4,CP,669,LV,54.0,0,0,,0,33110,2914,33219,32780,13228.0,550000.0,2776.0,4,14,0,0.0,0,0.0,0,0.0,0,0.0,7.8,*3/2
20171056,20221016-669,5.0,5.0,9,CP,669,CL,57.0,0,0,,0,5247,15570,32074,1043,,550000.0,,9,5,0,0.0,0,0.0,0,0.0,0,0.0,10.8,11/1
20170973,20221016-669,6.0,6.0,7,CP,669,T&LV,52.0,0,0,,0,33645,3677,32137,1053,,550000.0,,7,1,0,0.0,0,0.0,0,0.0,0,0.0,11.5, 6/1
20170559,20221016-669,7.0,7.0,11,CP,669,BT&L,54.0,0,0,,0,33074,31609,134274,305,,550000.0,,11,6,0,0.0,0,0.0,0,0.0,0,0.0,18.8, 5/1
20142099,20221016-669,8.0,8.0,5,CP,669,TL,52.5,0,0,,0,33468,72683,15244,1254,,550000.0,,5,2,0,0.0,0,0.0,0,0.0,0,0.0,19.0,44/1
20152406,20221016-669,9.0,9.0,3,CP,669,TL,50.0,0,0,,0,33198,72679,134636,889,,550000.0,,3,4,0,0.0,0,0.0,0,0.0,0,0.0,20.3,66/1
20160324,20221016-669,10.0,10.0,1,CP,669,T&LV,52.5,0,0,,0,5285,72673,134275,488,,0.0,,1,2,0,0.0,0,0.0,0,0.0,0,0.0,43.3,10/1
20181827,20221016-670,,,4,CP,670,TL,48.5,0,0,SICK,0,32046,3649,11749,76,,0.0,,4,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,
20182839,20221016-670,1.0,1.0,5,CP,670,L,52.5,0,0,,0,33357,3279,133855,861,,0.0,,5,2,0,0.0,0,0.0,0,0.0,0,0.0,4.0,16/1
20181716,20221016-670,2.0,2.0,8,CP,670,TL,54.0,0,0,,0,33132,3473,134821,34340,,0.0,,8,0,0,0.0,0,0.0,0,0.0,0,0.0,4.0,*6/5
20182102,20221016-670,3.0,3.0,14,CP,670,TLH,50.5,0,0,,0,33085,3677,32137,1053,,0.0,,14,9,0,0.0,0,0.0,0,0.0,0,0.0,4.8,99/1
20181918,20221016-670,4.0,4.0,10,CP,670,TLV,52.5,0,0,,0,33985,560,133621,28,,0.0,,10,3,0,0.0,0,0.0,0,0.0,0,0.0,6.0, 7/1
20181256,20221016-670,5.0,5.0,7,CP,670,B&L,53.0,0,0,,0,33074,12004,13052,452,,0.0,,7,0,0,0.0,0,0.0,0,0.0,0,0.0,7.0, 7/1
20180739,20221016-670,6.0,6.0,11,CP,670,V,53.0,0,0,,0,5290,12719,12719,34116,,0.0,,11,0,0,0.0,0,0.0,0,0.0,0,0.0,9.3, 5/2
20182420,20221016-670,7.0,7.0,3,CP,670,CL,51.0,0,0,,0,33072,14965,34086,990,,0.0,,3,0,0,0.0,0,0.0,0,0.0,0,0.0,11.5, 6/1
20180779,20221016-670,8.0,8.0,13,CP,670,TV,54.5,0,0,,0,3570,3780,15550,34635,,0.0,,13,0,0,0.0,0,0.0,0,0.0,0,0.0,14.0,51/1
20180491,20221016-670,9.0,9.0,12,CP,670,B&,52.0,0,0,,0,33645,72665,134496,1253,,0.0,,12,0,0,0.0,0,0.0,0,0.0,0,0.0,18.3, 8/1
20182182,20221016-670,10.0,10.0,2,CP,670,B&L,52.0,0,0,,0,5209,15319,22681,33334,,0.0,,2,0,0,0.0,0,0.0,0,0.0,0,0.0,21.5,11/1
20182233,20221016-670,11.0,11.0,6,CP,670,TC,51.5,0,0,,0,32905,3677,34143,1053,,0.0,,6,8,0,0.0,0,0.0,0,0.0,0,0.0,23.3,73/1
20182293,20221016-670,12.0,12.0,9,CP,670,TLV,53.0,0,0,,0,34087,33696,76835,2067,,0.0,,9,0,0,0.0,0,0.0,0,0.0,0,0.0,32.8,99/1
20181110,20221016-670,13.0,13.0,1,CP,670,B&,54.5,0,0,,0,5217,21536,33639,34088,,0.0,,1,0,0,0.0,0,0.0,0,0.0,0,0.0,43.3,20/1
20200623,20221016-671,1.0,1.0,3,CP,671,L,52.5,0,0,,0,33132,15571,18999,34072,,0.0,,3,0,0,0.0,0,0.0,0,0.0,0,0.0,4.0,*2/5
20200714,20221016-671,2.0,2.0,2,CP,671,,54.0,0,0,,0,33110,3229,134182,1266,,0.0,,2,0,0,0.0,0,0.0,0,0.0,0,0.0,4.0, 7/2
20200209,20221016-671,3.0,3.0,9,CP,671,T&L,54.5,0,0,,0,3570,12004,134925,452,,0.0,,9,0,0,0.0,0,0.0,0,0.0,0,0.0,5.5, 9/1
20201024,20221016-671,4.0,4.0,7,CP,671,T,52.5,0,0,,0,5247,13191,134403,2079,,0.0,,7,0,0,0.0,0,0.0,0,0.0,0,0.0,12.0,37/1
20200683,20221016-671,5.0,5.0,1,CP,671,TL,52.5,0,0,,0,33517,3100,33483,32952,,0.0,,1,0,0,0.0,0,0.0,0,0.0,0,0.0,12.5,19/1
20200118,20221016-671,6.0,6.0,4,CP,671,L,54.0,0,0,,0,34087,15571,134367,1125,,0.0,,4,0,0,0.0,0,0.0,0,0.0,0,0.0,14.0, 8/1
20200587,20221016-671,7.0,7.0,8,CP,671,V,52.5,0,0,,0,5215,37,1831,769,,0.0,,8,0,0,0.0,0,0.0,0,0.0,0,0.0,14.8, 6/1
20201897,20221016-671,8.0,8.0,6,CP,671,,54.0,0,0,,0,33280,72699,28493,559,,0.0,,6,0,0,0.0,0,0.0,0,0.0,0,0.0,20.3,64/1
20202243,20221016-671,9.0,9.0,10,CP,671,,53.0,0,0,,0,32973,15571,134783,2130,,0.0,,10,0,0,0.0,0,0.0,0,0.0,0,0.0,23.3,80/1
20202703,20221016-671,10.0,10.0,5,CP,671,&L,52.5,0,0,,0,33985,3310,23671,1082,,0.0,,5,0,0,0.0,0,0.0,0,0.0,0,0.0,26.0,11/1
20190333,20221016-672,,,8,CP,672,TL,55.0,0,0,LAME,0,3570,140,134806,674,,0.0,,8,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,
20190348,20221016-672,1.0,1.0,12,CP,672,TL,52.5,0,0,,0,33357,3263,134536,1138,,0.0,,12,9,0,0.0,0,0.0,0,0.0,0,0.0,0.8, 5/2
20191274,20221016-672,2.0,2.0,1,CP,672,&L,52.0,0,0,,0,33110,37,18946,781,,0.0,,1,3,0,0.0,0,0.0,0,0.0,0,0.0,0.8, 3/1
20190131,20221016-672,6.0,3.0,2,CP,672,L,51.0,0,0,DQ3,0,32905,12004,13052,16800,,0.0,,2,8,0,0.0,0,0.0,0,0.0,0,0.0,8.0,73/1
20191345,20221016-672,3.0,4.0,5,CP,672,TL,48.0,0,0,,0,33198,3677,34143,1053,,0.0,,5,0,0,0.0,0,0.0,0,0.0,0,0.0,8.2,81/1
20190353,20221016-672,4.0,5.0,7,CP,672,T&LV,52.5,0,0,,0,33985,3611,33643,34154,,0.0,,7,0,0,0.0,0,0.0,0,0.0,0,0.0,8.5,36/1
20192640,20221016-672,5.0,6.0,9,CP,672,T&L,53.0,0,0,,0,33132,15571,134800,34223,,0.0,,9,0,0,0.0,0,0.0,0,0.0,0,0.0,8.7,*3/2
20192155,20221016-672,7.0,7.0,6,CP,672,&L,52.5,0,0,,0,5247,15571,134295,34072,,0.0,,6,0,0,0.0,0,0.0,0,0.0,0,0.0,10.0,10/1
20191663,20221016-672,8.0,8.0,10,CP,672,&LV,50.5,0,0,,0,34068,37,22678,115,,0.0,,10,0,0,0.0,0,0.0,0,0.0,0,0.0,12.0,10/1
20190611,20221016-672,9.0,9.0,13,CP,672,T&L,52.0,0,0,,0,33645,72713,134729,270,,0.0,,13,1,0,0.0,0,0.0,0,0.0,0,0.0,12.2,28/1
20190080,20221016-672,10.0,10.0,3,CP,672,TL,53.0,0,0,,0,34087,3263,34104,1138,,0.0,,3,0,0,0.0,0,0.0,0,0.0,0,0.0,12.3, 7/2
20192655,20221016-672,11.0,11.0,11,CP,672,TL,53.0,0,0,,0,33109,31924,134815,750,,0.0,,11,0,0,0.0,0,0.0,0,0.0,0,0.0,17.3,99/1
20192397,20221016-672,12.0,12.0,4,CP,672,BTL,52.0,0,0,,0,5265,3229,33470,1266,,0.0,,4,0,0,0.0,0,0.0,0,0.0,0,0.0,18.1,13/1
20170473,20221016-673,1.0,1.0,9,CP,673,TLV,57.0,0,0,,0,34087,3263,33946,924,,0.0,,9,7,0,0.0,0,0.0,0,0.0,0,0.0,5.5,*1/9
20170135,20221016-673,2.0,2.0,1,CP,673,TLV,55.0,0,0,,0,33110,3611,24560,2246,,0.0,,1,10,0,0.0,0,0.0,0,0.0,0,0.0,5.5, 7/1
20152279,20221016-673,3.0,3.0,6,CP,673,TLV,51.5,0,0,,0,33523,33696,134161,502,,0.0,,6,7,0,0.0,0,0.0,0,0.0,0,0.0,10.5, 5/1
20160399,20221016-673,4.0,4.0,2,CP,673,&L,57.0,0,0,,0,3570,3611,9261,199,,0.0,,2,6,0,0.0,0,0.0,0,0.0,0,0.0,12.8,22/1
20172664,20221016-673,5.0,5.0,8,CP,673,L,50.0,0,0,,0,33072,33744,134271,126,,0.0,,8,2,0,0.0,0,0.0,0,0.0,0,0.0,14.3,56/1
20120019,20221016-673,6.0,6.0,7,CP,673,L,56.0,0,0,,0,31827,1126,26522,850,,0.0,,7,4,0,0.0,0,0.0,0,0.0,0,0.0,14.8,26/1
20103372,20221016-673,7.0,7.0,5,CP,673,L,57.0,0,0,,0,33132,15571,8257,1961,,0.0,,5,6,0,0.0,0,0.0,0,0.0,0,0.0,20.0,16/1
20181812,20221016-673,8.0,8.0,10,CP,673,TL,52.5,0,0,,0,33357,12233,33349,34340,,0.0,,10,3,0,0.0,0,0.0,0,0.0,0,0.0,20.3,33/1
20180219,20221016-673,9.0,9.0,4,CP,673,&L,53.0,0,0,,0,33598,15571,77027,250,,0.0,,4,0,0,0.0,0,0.0,0,0.0,0,0.0,21.0,37/1
20173005,20221016-673,10.0,10.0,3,CP,673,LV,52.0,0,0,,0,33912,3611,9261,34140,,0.0,,3,1,0,0.0,0,0.0,0,0.0,0,0.0,120.0,41/1
20152219,20221017-674,,0.0,4,CP,674,T&L,56.0,0,0,NOT ELIGIBLE,0,34087,17569,134275,120,,400000.0,,4,13,0,0.0,0,0.0,0,0.0,0,0.0,0.0,
20162151,20221017-674,1.0,1.0,6,CP,674,BT&L,54.0,0,0,,0,5217,15571,8257,1961,134905.0,400000.0,31968.0,6,9,0,0.0,0,0.0,0,0.0,0,0.0,11.5,*1/5
20171556,20221017-674,2.0,2.0,9,CP,674,L,54.0,0,0,,0,33132,3473,33521,34085,,400000.0,,9,7,0,0.0,0,0.0,0,0.0,0,0.0,11.5, 8/1
20152360,20221017-674,3.0,3.0,7,CP,674,BL,52.0,0,0,,0,32905,31968,134410,954,,400000.0,,7,4,0,0.0,0,0.0,0,0.0,0,0.0,26.0,78/1
20171334,20221017-674,4.0,4.0,5,CP,674,TL,51.5,0,0,,0,33523,15311,134586,536,134796.0,400000.0,72658.0,5,3,0,0.0,0,0.0,0,0.0,0,0.0,28.5, 7/2
20152951,20221017-674,5.0,5.0,3,CP,674,L,54.0,0,0,,0,33072,72707,32059,34490,29492.0,400000.0,72683.0,3,4,0,0.0,0,0.0,0,0.0,0,0.0,35.5,12/1
20152719,20221017-674,6.0,6.0,8,CP,674,&L,53.5,0,0,,0,33517,3752,33530,33000,,0.0,,8,3,0,0.0,0,0.0,0,0.0,0,0.0,38.5,46/1
20161947,20221017-674,7.0,7.0,2,CP,674,&L,53.5,0,0,,0,5265,72717,20551,1918,,0.0,,2,14,0,0.0,0,0.0,0,0.0,0,0.0,42.0, 5/1
20182495,20221017-674,99.0,99.0,1,CP,674,TL,54.0,0,0,STARTERS LIST,0,33280,72683,15244,359,,400000.0,,1,5,0,0.0,0,0.0,0,0.0,0,0.0,0.0,90/1
20182011,20221017-675,,0.0,1,CP,675,TL,54.0,0,0,LAME,0,33072,72707,32059,33250,,750000.0,,1,4,0,0.0,0,0.0,0,0.0,0,0.0,0.0,
20151656,20221017-675,1.0,1.0,2,CP,675,L,54.0,0,0,,0,33357,15695,15695,227,,750000.0,,2,11,0,0.0,0,0.0,0,0.0,0,0.0,1.8, 1/1
20171905,20221017-675,2.0,2.0,6,CP,675,&L,52.0,0,0,,0,32931,15695,134838,1120,,750000.0,,6,0,0,0.0,0,0.0,0,0.0,0,0.0,1.8, 9/5
20142175,20221017-675,3.0,3.0,5,CP,675,BL,54.0,0,0,,0,32905,15228,15228,34630,,750000.0,,5,1,0,0.0,0,0.0,0,0.0,0,0.0,4.0,11/1
20140368,20221017-675,4.0,4.0,4,CP,675,TLV,49.5,0,0,,0,33993,21536,32444,1937,,750000.0,,4,7,0,0.0,0,0.0,0,0.0,0,0.0,6.5,24/1
20161270,20221017-675,5.0,5.0,3,CP,675,&L,56.0,0,0,,0,33132,2776,13228,652,,750000.0,,3,7,0,0.0,0,0.0,0,0.0,0,0.0,14.5,*1/1
20190717,20221017-676,1.0,1.0,1,CP,676,&,57.0,0,0,,0,32905,15228,15228,34630,,0.0,,1,0,0,0.0,0,0.0,0,0.0,0,0.0,3.0, 2/1
20191198,20221017-676,2.0,2.0,7,CP,676,B&L,55.0,0,0,,0,33110,3279,27746,243,,0.0,,7,0,0,0.0,0,0.0,0,0.0,0,0.0,3.0, 7/2
20192099,20221017-676,3.0,3.0,6,CP,676,TL,57.0,0,0,,0,5265,3677,34143,1053,,0.0,,6,0,0,0.0,0,0.0,0,0.0,0,0.0,7.8, 9/2
20191678,20221017-676,4.0,4.0,5,CP,676,T&LV,55.0,0,0,,0,32046,12004,13052,452,,0.0,,5,0,0,0.0,0,0.0,0,0.0,0,0.0,8.5,16/1
20190535,20221017-676,5.0,5.0,4,CP,676,&L,55.0,0,0,,0,33132,3263,134902,1978,,0.0,,4,0,0,0.0,0,0.0,0,0.0,0,0.0,8.8,*6/5
20191229,20221017-676,6.0,6.0,8,CP,676,TL,53.0,0,0,,0,5209,3649,33314,2016,,0.0,,8,0,0,0.0,0,0.0,0,0.0,0,0.0,10.3, 7/2
20191532,20221017-676,7.0,7.0,3,CP,676,T,53.5,0,0,,0,33109,3677,2215,1053,,0.0,,3,0,0,0.0,0,0.0,0,0.0,0,0.0,11.0,54/1
20190651,20221017-676,8.0,8.0,2,CP,676,T&,55.0,0,0,,0,5285,968,33960,202,,0.0,,2,0,0,0.0,0,0.0,0,0.0,0,0.0,18.0,99/1
20191941,20221017-677,1.0,1.0,2,CP,677,L,54.0,0,0,,0,33050,33744,134271,126,,0.0,,2,0,0,0.0,0,0.0,0,0.0,0,0.0,2.3,*3/5
20190888,20221017-677,2.0,2.0,4,CP,677,&LV,53.0,0,0,,0,5265,3263,34104,1138,,0.0,,4,0,0,0.0,0,0.0,0,0.0,0,0.0,2.3, 5/1
20192266,20221017-677,3.0,3.0,6,CP,677,TCL,53.0,0,0,,0,32905,2889,34050,762,,0.0,,6,0,0,0.0,0,0.0,0,0.0,0,0.0,3.8, 4/1
20191441,20221017-677,4.0,4.0,8,CP,677,LV,54.0,0,0,,0,33110,3611,76835,949,,0.0,,8,0,0,0.0,0,0.0,0,0.0,0,0.0,4.5, 9/5
